# time head_pan l_gripper_l_finger_joint l_gripper_r_finger_joint left_e0 left_e1 left_s0 left_s1 left_w0 left_w1 left_w2 r_gripper_l_finger_joint r_gripper_r_finger_joint right_e0 right_e1 right_s0 right_s1 right_w0 right_w1 right_w2
423.422 -0.697097653011 0.0208375616764 5.49558513659e-06 -1.81444263567 1.24506233988 -0.276473836402 -0.707684095091 -2.72042121418 -0.772618138397 2.39227673747 -6.12638826637e-09 -0.0208330078784 1.54316155775 0.94119476203 -1.03896682385 -0.0391564549771 0.296583505505 2.08012282035 -1.40846782441
423.522 -0.713705720301 0.0208331605366 1.93874055423e-07 -1.81444240751 1.24506250948 -0.276473731542 -0.707684206828 -2.72042112755 -0.772618473647 2.39227717829 -1.58061911446e-08 -0.0208330195144 1.54316155855 0.941194762598 -1.03896682406 -0.0391564546455 0.296583504725 2.08012282168 -1.40846782437
423.702 -0.737138590728 0.0208330138003 1.72185523524e-08 -1.81444257853 1.24506264548 -0.276473720378 -0.707684108877 -2.72042045469 -0.77261839176 2.39227657983 -2.50278858492e-08 -0.0208330306004 1.54316155888 0.941194762521 -1.03896682407 -0.0391564544743 0.296583504884 2.08012282448 -1.40846782373
423.822 -0.749107688183 0.0208330222242 2.27844922664e-08 -1.8144424917 1.24506272489 -0.27647371253 -0.707684091391 -2.72042067049 -0.772618075614 2.39227675758 -2.37990955413e-07 -0.0208332865998 1.5431615576 0.941194760225 -1.0389668232 -0.0391564548967 0.296583516409 2.08012288004 -1.40846781695
423.922 -0.757321524507 0.0208330006265 1.31887212155e-09 -1.81444246485 1.24506232076 -0.276473825536 -0.707684137245 -2.72042085819 -0.772618748751 2.39227674126 -1.16970952867e-09 -0.0208330019217 1.54316155709 0.941194760119 -1.03896682317 -0.0391564551227 0.296583507591 2.08012282544 -1.40846782201
424.122 -0.769986107429 0.0208330215605 2.65331175824e-08 -1.81444255542 1.24506266094 -0.276473711052 -0.707684114248 -2.72042059688 -0.772618333988 2.39227675434 -9.90204070968e-09 -0.020833012419 1.54316155815 0.941194762434 -1.03896682402 -0.0391564548227 0.296583504979 2.0801228204 -1.40846782461
424.222 -0.774830242565 0.0208359201644 3.51816081424e-06 -1.8144425883 1.24506236134 -0.276473823516 -0.70768413739 -2.72042079849 -0.772618523878 2.39227642762 -2.50270004805e-08 -0.0208330306002 1.54316155888 0.941194762512 -1.03896682407 -0.0391564544748 0.296583504881 2.0801228245 -1.40846782373
424.502 -0.784624198169 0.0208330091084 9.71059136977e-09 -1.81444252223 1.24506269594 -0.276473728147 -0.707684085731 -2.7204205031 -0.772618125413 2.39227654368 -9.71337707992e-08 -0.0208331172778 1.54316155871 0.94119476102 -1.03896682356 -0.0391564544106 0.296583509188 2.08012284604 -1.40846782009
424.622 -0.720421961607 0.020833132362 1.32835932029e-07 -1.81444240075 1.24506253693 -0.276473723447 -0.707684200398 -2.72042116998 -0.772618453781 2.39227729563 -2.14204636926e-09 -0.0208330031088 1.54316155736 0.941194760544 -1.0389668233 -0.0391564551724 0.29658350714 2.08012282335 -1.4084678231
424.802 -0.562101681571 0.0208330088343 1.12556121928e-08 -1.81444257785 1.24506262295 -0.276473729472 -0.707684113764 -2.7204204185 -0.772618427653 2.39227648277 -3.68782434054e-09 -0.0208330049685 1.54316155741 0.941194761517 -1.03896682365 -0.0391564550779 0.296583506227 2.08012282103 -1.40846782386
424.922 -0.458579136973 0.0208330138075 1.7207285355e-08 -1.81444250968 1.24506271571 -0.276473717813 -0.707684086683 -2.72042060568 -0.772618085422 2.39227665111 -3.94207591584e-08 -0.0208330479193 1.54316155907 0.941194762187 -1.03896682398 -0.0391564543648 0.296583505607 2.08012282912 -1.40846782271
425.022 -0.370101543568 0.0208330005197 1.08754636886e-09 -1.81444247215 1.24506228624 -0.276473833172 -0.707684137305 -2.72042087089 -0.772618801875 2.39227672843 -9.71152052179e-08 -0.0208331172745 1.54316155877 0.941194760942 -1.03896682356 -0.0391564544192 0.296583509273 2.08012284613 -1.40846782012
425.202 -0.219187621948 0.0208344947719 1.80131273158e-06 -1.81444266775 1.2450623785 -0.276473815195 -0.707684107247 -2.72042018761 -0.772618622043 2.3922758066 -1.52084351384e-07 -0.0208331833523 1.54316155819 0.941194760538 -1.03896682333 -0.0391564546158 0.296583512309 2.08012285985 -1.40846781866
425.322 -0.120886740754 0.0208354074905 2.40805856802e-06 -1.81444259599 1.24506231888 -0.276473838649 -0.707684132881 -2.72042051371 -0.772618759574 2.39227613609 -3.68899046972e-09 -0.0208330049687 1.54316155744 0.941194761442 -1.03896682361 -0.0391564550919 0.296583506193 2.08012282133 -1.40846782383
425.522 0.0491747699642 0.0208330024006 2.99241086211e-09 -1.81444247867 1.24506248702 -0.276473784497 -0.707684122467 -2.72042068486 -0.772618475573 2.3922766347 -2.50077482842e-08 -0.0208330305968 1.5431615589 0.941194762522 -1.03896682409 -0.0391564544848 0.29658350489 2.08012282449 -1.4084678237
425.622 0.13711687633 0.020836008693 3.00925597373e-06 -1.81444268232 1.245062358 -0.276473829867 -0.707684089278 -2.72042047801 -0.772618451158 2.39227605868 -6.19308972886e-08 -0.0208330749839 1.54316155907 0.941194761557 -1.03896682372 -0.0391564543349 0.296583507079 2.08012283616 -1.40846782151
425.722 0.219761156428 0.0208330822131 9.95051580332e-08 -1.81444243077 1.24506258183 -0.276473712383 -0.707684180719 -2.72042112308 -0.772618376646 2.39227727093 -1.52084377847e-07 -0.020833183352 1.54316155822 0.941194760467 -1.03896682333 -0.0391564546229 0.296583512293 2.08012286011 -1.40846781862
425.922 0.343978385884 0.020833313569 3.7831200292e-07 -1.81444242912 1.24506232944 -0.276473810465 -0.707684190817 -2.72042074333 -0.772618907039 2.39227655533 -2.14366063879e-09 -0.0208330031091 1.54316155719 0.941194760792 -1.03896682339 -0.0391564551276 0.29658350689 2.08012282309 -1.408467823
426.022 0.402039282729 0.0208330113841 1.19769055456e-08 -1.81444252134 1.24506271927 -0.276473719447 -0.707684083539 -2.72042053165 -0.77261806613 2.39227658233 -6.10608182693e-09 -0.0208330078748 1.54316155778 0.941194761971 -1.03896682382 -0.0391564549809 0.296583505554 2.08012282041 -1.40846782444
